Code,E_Category,E_Name,E_Pic_URL,E_Info,E_Geo
1,Outdoor,Formosan Animal Area,https://www.zoo.gov.tw/iTAP/05_Exhibit/01_FormosanAnimal.jpg,"""Isle Formosa! (Beautiful island!)"" are the words of the first Western explorer upon seeing the island of Taiwan. The Tropic of Cancer traverses the southern part of Taiwan. The whole island is within the subtropical zone and blessed with abundant rainfall. The high mountains and rough terrain further enhance the diversity of ecosystems and its fauna and flora.



Formosan Animal Area features animals indigenous to Taiwan, such as the Asiatic black bear, Chinese pangolin and otter, providing themes on wildlife conservation and environmental education.",MULTIPOINT ((121.5805931 24.9985962))
2,Outdoor,Children's Zoo,https://www.zoo.gov.tw/iTAP/05_Exhibit/02_ChildrenZoo.jpg,"The main attractions in the Children's Zoo are the domestic animals (ducks, geese, goats, donkeys, mini horses, and pigs). These are probably most children's first knowledge and experience of animals. 

 

In addition, the effects of exotic and invasive species on local ecosystem, and the concept of animal breeding are also on display in this area.",MULTIPOINT ((121.5819383 24.9989718))
3,Outdoor,Tropical Rainforest Area,https://www.zoo.gov.tw/iTAP/05_Exhibit/03_TropicalRainforest.jpg,"Tropical Rainforest Area takes the environment of the Amazon Basin in South America and Southeast Asian rainforests as the main axis of demonstration to present the biodiversity features and ecological complexity of tropical rainforest.

With simulations of tropical rainforest scenery in this area, it features diverse plants through high heat and high humidity. Visitors are led to the rainforest to understand the importance of rainforests and to make further support and participation in rainforest conservation.",MULTIPOINT ((121.5834188 24.9950215))
4,Outdoor,Desert Animal Area,https://www.zoo.gov.tw/iTAP/05_Exhibit/04_DesertAnimal.jpg,"Dry with high fluctuations in temperature is everyone's impressions of deserts. The bare terrain and drought-resistant flora lives are home to the oryx, various antelopes, and the two species of camels.",MULTIPOINT ((121.5851489 24.9952621))
5,Outdoor,Australian Animal Area,https://www.zoo.gov.tw/iTAP/05_Exhibit/05_AustralianAnimal.jpg,"Several species of ashes are planted here, and are home to the gray kangaroos, emus, and cassowaries.",MULTIPOINT ((121.5853326 24.994184))
6,Outdoor,African Animal Area,https://www.zoo.gov.tw/iTAP/05_Exhibit/06_AfricanAnimal.jpg,"The African continent has the reputation for being a wild animal kingdom: unusual animal species are one reason, and quantity is the other reason. Taipei Zoo's African Animal Area covers 6 hectares, suitable for large animals and can be mixed-species exhibition.

The exhibit is simulates the East African savanna. During daytime, a pond with nearby shady trees and bushes nearby is a gathering place for the animals, providing shade and drinkable water. In the evening, herbivores can graze on the grasses. Lions rest under the shade and hide, waiting for their moment to pounce on unsuspecting prey.",MULTIPOINT ((121.5880094 24.9951333))
7,Outdoor,Temperate Zone Animal Area,https://www.zoo.gov.tw/iTAP/05_Exhibit/07_TemperateZone.jpg,"A great portion of the world's land is in the temperate region. The temperate region is also the area most populated area by humans. Human presence has threatened or caused the extinction of many temperate animals. Many of the species on display here, such as the lesser panda, lynx, bears and wild horses, are rare even in their original range of distribution.",MULTIPOINT ((121.5896013 24.9931447))
8,Outdoor,Bird World,https://www.zoo.gov.tw/iTAP/05_Exhibit/08_BirdWorld.jpg,"Birds are the most conspicuous animals around us. Over one hundred thirty species and 1,200 individuals are kept in the four hectares area. The aviary includes themes and attractions such as parrots, storks, pheasants, the great cage and water birds.",MULTIPOINT ((121.5888946 24.9957179))
9,Indoor,Education Center,https://www.zoo.gov.tw/iTAP/05_Exhibit/09_EducationCenter.jpg,"The official name for the center is 'Animal Ecology and Dinosaur Museum'. In addition to the exhibits, the zoo library, auditorium and children hand-on museum are also housed in the center. It is a showcase for conservation and education.

The exhibits are composed of taxidermy specimens, views of habitats and ecosystems, and multi-media displays. Currently, six themes are on exhibition.

The topics are as follows:

Education Center-1 Asian Animals
Education Center-2 Prehistoric Animals
Education Center-3 Natural Ecology Conservation
Education Center-4 Lin Wang / Asian Elephant Exhibition
Education Center-5 Taipei Zoo History
 
The library holds periodicals, books and other media related to animals and zoos, and is open to the public. Reading classes, special lectures and other special activities are scheduled regularly in the center. The hand-on museum provides children with alternative ways to enjoy nature.",MULTIPOINT ((121.5818524 24.9978621))
10,Indoor,Penguin House,https://www.zoo.gov.tw/iTAP/05_Exhibit/10_PenguinHouse.jpg,All eighteen species of penguins are found south of the Equator. They are especially adapted to aquatic life. Two species of penguins (the king and African) are currently in the house. The first king penguin born in Taipei Zoo in 2001 was the instantly became the most sought after news item in Taiwan at the time.,MULTIPOINT ((121.5911959 24.9929758))
11,Indoor,Koala House,https://www.zoo.gov.tw/iTAP/05_Exhibit/11_KoalaHouse.jpg,"The most lovable animals from Australia, koalas brought in from the Currumbin Wildlife Sanctuary, are on display here. The first two arrived at Taipei Zoo in August, 1999. Two more koalas came a year later.

The koala house is one of the most popular attractions in Taipei Zoo.",MULTIPOINT ((121.5828744 24.9982291))
12,Indoor,Amphibian and Reptile House,https://www.zoo.gov.tw/iTAP/05_Exhibit/12_AmphibianReptile.jpg,The wavy ceiling of the Amphibian and Reptile House reminds people of the concertina locomotion of snakes. The silver metallic hue stands out from the green background. The two-story building includes the lower level preparatory area and the upper level exhibit area. The exhibit boasts 46 themes with over 90 species of amphibians and reptiles.,MULTIPOINT ((121.5898494 24.9940697))
13,Indoor,Insectarium,https://www.zoo.gov.tw/iTAP/05_Exhibit/13_Insectarium.jpg,"The Insectarium is a two-story building situated in a small valley.

A huge stag beetle welcomes all visitors in the lobby. The origin and evolution, structures and adaptation of the insects are the main themes in the exhibit. There is a greenhouse where visitors are surrounded by different kinds of butterflies.

Behind the Insectarium is a ten-hectare valley where outdoor educational hiking is conducted in the company of over 125 species of butterflies.",MULTIPOINT ((121.5807004 24.9967402))
14,Indoor,Giant Panda House,https://www.zoo.gov.tw/iTAP/05_Exhibit/14_PandaHouse.jpg,"The giant pandas are coming to Taipei Zoo's Xinguang Special Exhibit House, the exhibit facility bestowed by the Shin Kong Group to the Association of Friends of Taipei Zoo. The project's design and construction was outsourced, with which the Taipei Zoo was named as the builder by the Taipei City Government. After completion, the exhibit was donated to the Zoological Society of Taipei for operations and management.

The ground floor of the Special Exhibit includes one 765 square meter outdoor display area, and two indoor display areas covering 254 sq. meters and 210 sq. meters each. This design allows the exhibit to easily house at least one pair of Pandas. The outdoor enclosure simulates the animals' natural habitat. It?�s spacious and has extra green vegetation covering the floor and background, rocks of a variety of sizes and shapes, a pond with a waterfall, and plenty of climbing structures and shady areas. The comfortable and health-centric indoor enclosures are air conditioned. In the summer, the temperature is set between 24-26 degrees centigrade. In the winter, the temperature system is set to mimic natural ventilation, with air conditioning coming on when the outside temperature hits above 22 degrees centigrade. Humidity is controlled at 70-80% all year round.
",MULTIPOINT ((121.5830956 24.9968265))
